sampleID,barcode,name,description,note,quantity,expiration,created,Storage,storageLayerName,Storage Position,storageLayerID,fullName,clonedFrom,clonedFromSampleID,Sample Status,Tissue Type
7220505,S21665RG1,S21665RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,H.1,599576,elab JSP,,,Collected,Gill
7220508,S21666RG1,S21666RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,G.1,599576,elab JSP,,,Collected,Gill
7220510,S21667RG1,S21667RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,F.1,599576,elab JSP,,,Collected,Gill
7220513,S21668RG1,S21668RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,E.1,599576,elab JSP,,,Collected,Gill
7220514,S21669RG1,S21669RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.1,599576,elab JSP,,,Collected,Gill
7220516,S21670RG1,S21670RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,C.1,599576,elab JSP,,,Collected,Gill
7220517,S22053RG1,S22053RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,B.1,599576,elab JSP,,,Collected,Gill
7220520,S22054RG1,S22054RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,A.1,599576,elab JSP,,,Collected,Gill
7220522,S22059RG1,S22059RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,G.6,599576,elab JSP,,,Collected,Gill
7220525,S22051RG1,S22051RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,F.6,599576,elab JSP,,,Collected,Gill
7220526,S22057RG1,S22057RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.6,599576,elab JSP,,,Collected,Gill
7220528,S22060RG1,S22060RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,E.6,599576,elab JSP,,,Collected,Gill
7220529,S21081RG1,S21081RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,G.9,599576,elab JSP,,,Collected,Gill
7220531,S22055RG1,S22055RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,H.9,599576,elab JSP,,,Collected,Gill
7220532,S21082RG1,S21082RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,F.9,599576,elab JSP,,,Collected,Gill
7220534,S21681RG1,S21681RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,E.9,599576,elab JSP,,,Collected,Gill
7220537,S20921RG1,S20921RG1,,,,,2019-07-12 18:21,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.9,599576,elab JSP,,,Collected,Gill
7220976,S21648RG1,S21648RG1,,,,,2019-07-12 19:38,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,G.10,597164,elab JSP,,,Collected,Gill
