seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,seine_comments
DN437,DE337,NA,targeted,30,10:52:00,50.38992,-125.613237,0,0,0,0,0,0,0,0,0,0,NA,NA,1,DFO set at 10:44 - Cameron & Julia report zero sockeye in set. 1st set 10:52 on one aggressive slider. Suspect coho
DN438,DE338,NA,targeted,8,13:00:00,50.458706,-125.365059,30,50,10,100,10,100,0,0,3,3,NA,NA,1,NA
DN439,DE339,NA,NA,25,06:37:00,50.190862,-125.143147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN440,DE340,NA,NA,31,08:16:00,50.319929,-125.041001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN441,DE341,NA,targeted,12,10:20:00,50.24043,-125.119941,21,21,10,100,10,200,0,0,3,3,NA,NA,1,NA
DN442,DE342,NA,targeted,23,07:50:00,50.022465,-124.916635,0,0,0,10,0,10,0,0,0,0,NA,NA,1,NA
DN443,DE343,NA,NA,23,10:37:00,49.92905,-125.17525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Ipad not working. Coordinates taken from phone in degree, minutes, seconds"
DN444,DE344,NA,targeted,21,11:45:00,49.997783,-125.15945,9,9,10,70,10,70,0,0,3,3,NA,NA,1,"1st set no fish, interupted oceanography to set. Crafty fish, very skittish. Gone Quickly. Ipad not working and coordinates were taken off phne in degree decimal minutes. 2nd set: after leaving the site."
DN445,DE345,NA,NA,21,06:55:00,50.240198,-125.119865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN446,DE346,NA,NA,27,08:22:00,50.317597,-125.045246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN447,DE347,NA,NA,21,09:36:00,50.190453,-125.143332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN448,DE348,NA,NA,27,06:57:00,50.274799,-125.377479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,For site-wide poppers: 2 single pops in 2 separate locations.
DN449,DE349,NA,NA,9,07:25:00,50.243627,-125.39634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Search paused at 07:19, continued at 07:41."
DN450,DE350,1,random,14,09:24:00,50.307068,-125.329361,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"Set 1 with DFO. DFO set at 09:22, Sloop Jo set at 09:24. Random set, no fish."
DN451,DE350,2,targeted,14,10:02:00,50.307068,-125.329361,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"Set 2 with DFO. DFO set at 10:00, Sloop Jo set at 10:02. Targeted school seen below the surface. No fish."
DN452,DE352,NA,targeted,0,06:43:00,50.378699,-125.373927,6,6,10,300,10,300,0,0,2,2,NA,NA,1,NA
DN453,DE353,NA,targeted,18,09:45:00,50.348081,-125.455923,22,22,10,200,10,40,0,0,0,0,NA,NA,1,NA
DN454,DE354,NA,NA,1,13:46:00,50.387691,-125.619231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN455,DE355,NA,targeted,15,15:15:00,50.462531,-125.359047,6,6,10,70,10,50,0,0,0,0,NA,NA,1,"Search paused at 14:51, continued at 15:08."
DN456,DE356,NA,NA,16,07:18:00,50.319379,-125.041062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN457,DE357,1,targeted,7,08:30:00,50.240733,-125.12055,0,0,0,1,0,1,0,0,0,0,NA,NA,1,NA
DN458,DE357,2,targeted,7,08:50:00,50.240733,-125.12055,0,0,0,8,0,1,0,0,0,0,NA,NA,1,NA
DN459,DE359,NA,NA,20,10:37:00,50.190636,-125.142841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN460,DE360,NA,targeted,8,06:40:00,50.275178,-125.378066,24,24,10,200,10,40,0,0,0,0,NA,NA,1,NA
DN461,DE361,1,targeted,3,09:45:00,50.304502,-125.336639,0,1,0,40,0,20,0,0,0,0,NA,NA,1,re set because there was lots of surface activity elsewhere
DN462,DE361,2,targeted,NA,10:15:00,50.307066,-125.322977,8,8,10,100,10,100,1,1,0,0,NA,NA,1,"DFO set: @ 09:55. Luke thinks they fd (net twist) But SJ and BJ think different. LR probably correct because we heard swearing from DFO boat during their net retrieval. Our catch enumerated: 195 fish. DFO caught chum, coho, no sox. DFO earlier in the day caight ~ 300 fish mostly pink + chum with chinook at Deep Water Bay."
DN463,DE363,NA,NA,24,14:11:00,50.243843,-125.396386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
JN330,JE230,NA,NA,30,10:45:00,50.480359,-126.412275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
